months	days	hours	Label	Amazon p2.16xlarge on-demand			Amazon p2.8xlarge on-demand			Amazon p2.xlarge on-demand			Amazon p2 dedicated host On-demand			Amazon p2 dedicated host 1y. no Up.			Amazon p2 dedicated host 1y. Up.100%			Softlayer NVIDIA Tesla K80 hourly			Softlayer NVIDIA Tesla K80 monthly			Softlayer NVIDIA Tesla K80 2690v3			Softlayer NVIDIA Tesla M60 2690v3			Nimbix NGD5			Cirrascale 16-GPU x86 SERVER K80 monthly			Cirrascale 16-GPU x86 SERVER K80 weekly			Cirrascale 8-GPU x86 SERVER M40 monthly			Cirrascale 8-GPU x86 SERVER M40 weekly			Cirrascale 8-GPU x86 SERVER monthly			Cirrascale 8-GPU x86 SERVER weekly			Cirrascale 4-GPU x86 SERVER monthly			Cirrascale 4-GPU x86 SERVER weekly			Cirrascale 8-GPU x86 SERVER P40 monthly			Cirrascale 8-GPU x86 SERVER P40 weekly			Cirrascale 8-GPU x86 SERVER P100 monthly			Cirrascale 8-GPU x86 SERVER P100 weekly			Cirrascale 4-GPU POWER8/10 SERVER monthly			Cirrascale 4-GPU POWER8/10 SERVER weekly			Cirrascale 4-GPU POWER8/8 SERVER monthly			Cirrascale 4-GPU POWER8/8 SERVER weekly			Sakura Quad GPU model			Sakura Tesla model		
				Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)	Price (USD) total for period	CPU ($/Tflops)	GPU ($/Tflops)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1h	$14.40	$20.25 	$0.10 	$7.20	$20.25 	$0.10 	$0.90	$20.25 	$0.10 	$15.84	$19.80 	$0.11 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$5.30	$13.25 	$0.61 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$5.00	$5.70 	$0.29 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	2	2h	$28.80	$40.50 	$0.21 	$14.40	$40.50 	$0.21 	$1.80	$40.50 	$0.21 	$31.68	$39.60 	$0.23 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$21.20	$26.50 	$1.21 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$10.00	$11.41 	$0.57 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	3	3h	$43.20	$60.75 	$0.31 	$21.60	$60.75 	$0.31 	$2.70	$60.75 	$0.31 	$47.52	$59.40 	$0.34 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$47.70	$39.75 	$1.82 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$15.00	$17.11 	$0.86 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	4	4h	$57.60	$81.00 	$0.41 	$28.80	$81.00 	$0.41 	$3.60	$81.00 	$0.41 	$63.36	$79.20 	$0.45 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$84.80	$53.00 	$2.43 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$20.00	$22.81 	$1.14 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	5	5h	$72.00	$101.25 	$0.51 	$36.00	$101.25 	$0.51 	$4.50	$101.25 	$0.51 	$79.20	$99.00 	$0.57 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$132.50	$66.25 	$3.03 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$25.00	$28.51 	$1.43 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	6	6h	$86.40	$121.50 	$0.62 	$43.20	$121.50 	$0.62 	$5.40	$121.50 	$0.62 	$95.04	$118.80 	$0.68 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$190.80	$79.50 	$3.64 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$30.00	$34.22 	$1.72 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	7	7h	$100.80	$141.75 	$0.72 	$50.40	$141.75 	$0.72 	$6.30	$141.75 	$0.72 	$110.88	$138.60 	$0.79 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$259.70	$92.75 	$4.24 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$35.00	$39.92 	$2.00 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
1	1	8	8h	$115.20	$162.00 	$0.82 	$57.60	$162.00 	$0.82 	$7.20	$162.00 	$0.82 	$126.72	$158.40 	$0.91 	"$8,793.81"	"$131,907.15"	$754.62	"$7,365.75"	"$110,486.25"	$632.07	$339.20	$106.00 	$4.85 	"$2,479.00"	"$6,197.50 "	$283.64 	"$1,529.00"	"$2,184.29 "	$174.94 	"$1,879.00"	"$2,684.29 "	$194.72 	$40.00	$45.62 	$2.29 	"$7,499.00"	"$12,498.33 "	$107.25 	"$2,649.00"	"$4,415.00 "	$37.89 	"$5,999.00"	"$14,997.50 "	$109.57 	"$1,829.00"	"$4,572.50 "	$33.41 	"$3,799.00"	"$9,497.50 "	$77.29 	"$1,329.00"	"$3,322.50 "	$27.04 	"$2,099.00"	"$5,766.48 "	$85.41 	$749.00	"$2,057.69 "	$30.48 	"$6,999.00"	"$17,497.50 "	$74.41 	"$2,049.00"	"$5,122.50 "	$21.78 	"$8,599.00"	"$21,497.50 "	$113.14 	"$2,599.00"	"$6,497.50 "	$34.20 	"$7,449.00"	"$6,796.53 "	$196.03 	"$2,259.00"	"$2,061.13 "	$59.45 	"$6,679.00"	"$7,617.47 "	$175.76 	"$1,999.00"	"$2,279.88 "	$52.61 	"$1,519.00"	"$5,063.33 "	$61.81 	"$1,675.00"	"$5,583.33 "	$244.74 
