Provider	Offer	Hour price	Week price	Month price	Year price	CPU performance (Tflops)	GPU performance (Tfolps singl.prec.)	GPUs
Amazon	p2.16xlarge on-demand	$14.40		"$10,368.00"		0.711111111	139.84	16
	p2.8xlarge on-demand	$7.20		"$5,184.00"		0.355555556	69.92	8
	p2.xlarge on-demand	$0.90		$648.00		0.044444444	8.74	1
	p2 dedicated host On-demand	$15.84		"$11,404.80"		0.8	139.84	16
	p2 dedicated host 1y. no Up.			"$8,793.81 "	"$105,525.72"	0.8	139.84	16
	p2 dedicated host 1y. Up.100%				"$88,389.00"	0.8	139.84	16
Softlayer	NVIDIA Tesla K80 hourly	$5.30				0.4	8.74	1
	NVIDIA Tesla K80 monthly			"$2,479.00"		0.4	8.74	1
	NVIDIA Tesla K80 2690v3			"$1,529.00"		0.7	8.74	1
	NVIDIA Tesla M60 2690v3			"$1,879.00"		0.7	9.65	1
Nimbix	NGD5	$5.00		"$3,600.00"		0.8768	17.48	2
Cirrascale	16-GPU x86 SERVER K80 monthly			"$7,499.00"		0.6	69.92	8
	16-GPU x86 SERVER K80 weekly		"$2,649.00"			0.6	69.92	8
	8-GPU x86 SERVER M40 monthly			"$5,999.00"		0.4	54.752	8
	8-GPU x86 SERVER M40 weekly		"$1,829.00"			0.4	54.752	8
	8-GPU x86 SERVER monthly			"$3,799.00"		0.4	49.152	8
	8-GPU x86 SERVER weekly		"$1,329.00"			0.4	49.152	8
	4-GPU x86 SERVER monthly			"$2,099.00"		0.364	24.576	4
	4-GPU x86 SERVER weekly		$749.00			0.364	24.576	4
	8-GPU x86 SERVER P40 monthly			"$6,999.00"		0.4	94.064	8
	8-GPU x86 SERVER P40 weekly		"$2,049.00"			0.4	94.064	8
	8-GPU x86 SERVER P100 monthly			"$8,599.00"		0.4	76	8
	8-GPU x86 SERVER P100 weekly		"$2,599.00"			0.4	76	8
	4-GPU POWER8/10 SERVER monthly			"$7,449.00"		1.096	38	4
	4-GPU POWER8/10 SERVER weekly		"$2,259.00"			1.096	38	4
	4-GPU POWER8/8 SERVER monthly			"$6,679.00"		0.8768	38	4
	4-GPU POWER8/8 SERVER weekly		"$1,999.00"			0.8768	38	4
Sakura	Quad GPU model			"$1,519.00"		0.3	24.576	4
	Tesla model			"$1,675.00"		0.3	6.844	1
