months,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12
days,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,6,7,8,9,10,15,20,25,30,61,91.5,122,152.5,183,213.5,244,274.5,305,335.5,366
hours,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,30,36,42,48,72,96,120,144,168,192,216,240,360,480,600,720,1464,2196,2928,3660,4392,5124,5856,6588,7320,8052,8784
Label,,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,1d,2d,2d,2d,2d,3d,4d,5d,6d,7d,8d,9d,10d,15d,20d,25d,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m
Amazon p2.16xlarge on-demand,Price (USD) total for period,14.40 ,28.80 ,43.20 ,57.60 ,72.00 ,86.40 ,100.80 ,115.20 ,129.60 ,144.00 ,158.40 ,172.80 ,187.20 ,201.60 ,216.00 ,230.40 ,244.80 ,259.20 ,273.60 ,288.00 ,302.40 ,316.80 ,331.20 ,345.60 ,432.00 ,518.40 ,604.80 ,691.20 ,1036.80 ,1382.40 ,1728.00 ,2073.60 ,2419.20 ,2764.80 ,3110.40 ,3456.00 ,5184.00 ,6912.00 ,8640.00 ,10368.00 ,21081.60 ,31622.40 ,42163.20 ,52704.00 ,63244.80 ,73785.60 ,84326.40 ,94867.20 ,105408.00 ,115948.80 ,126489.60 
,CPU ($/Tflops),20.25 ,40.50 ,60.75 ,81.00 ,101.25 ,121.50 ,141.75 ,162.00 ,182.25 ,202.50 ,222.75 ,243.00 ,263.25 ,283.50 ,303.75 ,324.00 ,344.25 ,364.50 ,384.75 ,405.00 ,425.25 ,445.50 ,465.75 ,486.00 ,607.50 ,729.00 ,850.50 ,972.00 ,1458.00 ,1944.00 ,2430.00 ,2916.00 ,3402.00 ,3888.00 ,4374.00 ,4860.00 ,7290.00 ,9720.00 ,12150.00 ,14580.00 ,29646.00 ,44469.00 ,59292.00 ,74115.00 ,88938.00 ,103761.00 ,118584.00 ,133407.00 ,148230.00 ,163053.00 ,177876.00 
,GPU ($/Tflops),0.10 ,0.21 ,0.31 ,0.41 ,0.51 ,0.62 ,0.72 ,0.82 ,0.93 ,1.03 ,1.13 ,1.24 ,1.34 ,1.44 ,1.54 ,1.65 ,1.75 ,1.85 ,1.96 ,2.06 ,2.16 ,2.27 ,2.37 ,2.47 ,3.09 ,3.71 ,4.32 ,4.94 ,7.41 ,9.89 ,12.36 ,14.83 ,17.30 ,19.77 ,22.24 ,24.71 ,37.07 ,49.43 ,61.78 ,74.14 ,150.76 ,226.13 ,301.51 ,376.89 ,452.27 ,527.64 ,603.02 ,678.40 ,753.78 ,829.15 ,904.53 
Amazon p2.8xlarge on-demand,Price (USD) total for period,7.20 ,14.40 ,21.60 ,28.80 ,36.00 ,43.20 ,50.40 ,57.60 ,64.80 ,72.00 ,79.20 ,86.40 ,93.60 ,100.80 ,108.00 ,115.20 ,122.40 ,129.60 ,136.80 ,144.00 ,151.20 ,158.40 ,165.60 ,172.80 ,216.00 ,259.20 ,302.40 ,345.60 ,518.40 ,691.20 ,864.00 ,1036.80 ,1209.60 ,1382.40 ,1555.20 ,1728.00 ,2592.00 ,3456.00 ,4320.00 ,5184.00 ,10540.80 ,15811.20 ,21081.60 ,26352.00 ,31622.40 ,36892.80 ,42163.20 ,47433.60 ,52704.00 ,57974.40 ,63244.80 
,CPU ($/Tflops),20.25 ,40.50 ,60.75 ,81.00 ,101.25 ,121.50 ,141.75 ,162.00 ,182.25 ,202.50 ,222.75 ,243.00 ,263.25 ,283.50 ,303.75 ,324.00 ,344.25 ,364.50 ,384.75 ,405.00 ,425.25 ,445.50 ,465.75 ,486.00 ,607.50 ,729.00 ,850.50 ,972.00 ,1458.00 ,1944.00 ,2430.00 ,2916.00 ,3402.00 ,3888.00 ,4374.00 ,4860.00 ,7290.00 ,9720.00 ,12150.00 ,14580.00 ,29646.00 ,44469.00 ,59292.00 ,74115.00 ,88938.00 ,103761.00 ,118584.00 ,133407.00 ,148230.00 ,163053.00 ,177876.00 
,GPU ($/Tflops),0.10 ,0.21 ,0.31 ,0.41 ,0.51 ,0.62 ,0.72 ,0.82 ,0.93 ,1.03 ,1.13 ,1.24 ,1.34 ,1.44 ,1.54 ,1.65 ,1.75 ,1.85 ,1.96 ,2.06 ,2.16 ,2.27 ,2.37 ,2.47 ,3.09 ,3.71 ,4.32 ,4.94 ,7.41 ,9.89 ,12.36 ,14.83 ,17.30 ,19.77 ,22.24 ,24.71 ,37.07 ,49.43 ,61.78 ,74.14 ,150.76 ,226.13 ,301.51 ,376.89 ,452.27 ,527.64 ,603.02 ,678.40 ,753.78 ,829.15 ,904.53 
Amazon p2.xlarge on-demand,Price (USD) total for period,0.90 ,1.80 ,2.70 ,3.60 ,4.50 ,5.40 ,6.30 ,7.20 ,8.10 ,9.00 ,9.90 ,10.80 ,11.70 ,12.60 ,13.50 ,14.40 ,15.30 ,16.20 ,17.10 ,18.00 ,18.90 ,19.80 ,20.70 ,21.60 ,27.00 ,32.40 ,37.80 ,43.20 ,64.80 ,86.40 ,108.00 ,129.60 ,151.20 ,172.80 ,194.40 ,216.00 ,324.00 ,432.00 ,540.00 ,648.00 ,1317.60 ,1976.40 ,2635.20 ,3294.00 ,3952.80 ,4611.60 ,5270.40 ,5929.20 ,6588.00 ,7246.80 ,7905.60 
